Text_ID,Character_ID,Text_Type,Animation_ID,Text_Formal,Text_Script_1,Text_Script_2,Text_Select1,Text_Select2,Text_Next
0,3,1,4,1,"안녕, 레딘",안녕 레딘~,-1,-1,1
1,3,1,4,1,마을 적응은 잘했니?,마을 적응은 잘했니?,-1,-1,-1
2,3,1,4,2,도울 일 있으면 언제든지 말하렴.,도울 일 있으면 언제든지 말하렴~,-1,-1,-1
3,3,1,4,3,그럼 좋은 하루 보내렴.,그럼 좋은 하루 보내렴~,-1,-1,-1
4,3,1,4,4,"안녕, 레딘",안녕 레딘~,-1,-1,5
5,3,1,4,4,무슨 소식이냐고?,소식? 아!,-1,-1,6
6,3,1,4,4,마왕님께서 우리 마을에 방문하신다더구나.,마왕님께서 우리 마을에 방문하신다더구나!,-1,-1,-1
7,3,1,4,5,마왕님을 뵙는 건 오랜만인데,마왕님을 뵙는 건 오랜만인데!,-1,-1,8
8,3,1,4,5,참 기대가 되는구나.,무척이나 기대가 되는구나!,-1,-1,-1
9,3,1,4,6,얼른 마왕님을 뵙고 싶구나.,얼른 마왕님을 뵙고 싶구나!,-1,-1,-1
10,,,,,,,,,
11,,,,,,,,,
12,,,,,,,,,
13,,,,,,,,,
14,,,,,,,,,
15,,,,,,,,,
16,,,,,,,,,
17,,,,,,,,,
18,,,,,,,,,
19,,,,,,,,,
20,,,,,,,,,
21,,,,,,,,,
22,,,,,,,,,
23,,,,,,,,,
24,,,,,,,,,
25,,,,,,,,,
26,,,,,,,,,
27,,,,,,,,,
28,,,,,,,,,
29,,,,,,,,,
30,,,,,,,,,
31,,,,,,,,,
32,,,,,,,,,
33,,,,,,,,,
34,,,,,,,,,
35,,,,,,,,,
36,,,,,,,,,
37,,,,,,,,,
38,,,,,,,,,
39,,,,,,,,,
40,,,,,,,,,
41,,,,,,,,,
42,,,,,,,,,
43,,,,,,,,,
44,,,,,,,,,
45,,,,,,,,,
46,,,,,,,,,
47,,,,,,,,,
48,,,,,,,,,
49,,,,,,,,,
50,,,,,,,,,
51,,,,,,,,,
52,,,,,,,,,
53,,,,,,,,,
54,,,,,,,,,
55,,,,,,,,,
56,,,,,,,,,
57,,,,,,,,,
58,,,,,,,,,
59,,,,,,,,,
60,,,,,,,,,
61,,,,,,,,,
62,,,,,,,,,
63,,,,,,,,,
64,,,,,,,,,
65,,,,,,,,,
66,,,,,,,,,
67,,,,,,,,,
68,,,,,,,,,
69,,,,,,,,,
70,,,,,,,,,
71,,,,,,,,,
72,,,,,,,,,
73,,,,,,,,,
74,,,,,,,,,
75,,,,,,,,,
76,,,,,,,,,
77,,,,,,,,,
78,,,,,,,,,
79,,,,,,,,,
80,,,,,,,,,
81,,,,,,,,,
82,,,,,,,,,
83,,,,,,,,,
84,,,,,,,,,
85,,,,,,,,,
86,,,,,,,,,
87,,,,,,,,,
88,,,,,,,,,
89,,,,,,,,,
90,,,,,,,,,
91,,,,,,,,,
92,,,,,,,,,
93,,,,,,,,,
94,,,,,,,,,
95,,,,,,,,,
96,,,,,,,,,
97,,,,,,,,,
98,,,,,,,,,
99,,,,,,,,,
100,,,,,,,,,
101,,,,,,,,,
102,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
