ConditionTime,AiParameter1,AiParameter2
0:00,3,15
0:10,3,15
0:20,3,15
0:30,3,15
0:40,3,15
0:50,3,15
1:00,3,15
1:10,3,15
1:20,3,15
1:30,3,15
1:40,3,15
1:50,3,15
2:00,3,15
2:10,3,15
2:20,3,15
2:30,3,15
2:40,3,15
2:50,3,15
3:00,3,15
3:10,3,15
3:20,3,15
3:30,3,15
3:40,3,15
3:50,3,15
4:00,3,15
4:10,3,15
4:20,3,15
4:30,3,15
4:40,3,15
4:50,3,15
5:00,3,15
5:10,3,15
5:20,3,15
5:30,3,15
5:40,3,15
5:50,3,15
6:00,3,15
6:10,3,15
6:20,3,15
6:30,4,15
6:40,4,11
6:50,1,11
7:00,1,11
7:10,1,11
7:20,1,11
7:30,1,11
7:40,4,13
7:50,4,13
8:00,4,13
8:10,2,13
8:20,2,13
8:30,2,13
8:40,2,13
8:50,2,13
9:00,2,13
17:00,4,13
17:10,2,13
17:20,2,13
17:30,2,13
17:40,2,13
17:50,2,13
18:00,2,13
18:10,2,13
18:20,2,13
18:30,2,13
18:40,2,13
18:50,2,13
19:00,2,13
19:10,2,13
19:20,2,13
19:30,2,13
19:40,2,13
19:50,2,13
20:00,4,13
20:10,4,10
20:20,4,10
20:30,4,10
20:40,1,10
20:50,1,10
21:00,1,10
21:10,1,10
21:20,1,10
21:30,1,10
21:40,1,10
21:50,4,10
22:00,4,15
22:10,4,15
22:20,4,15
22:30,3,15
22:40,3,15
22:50,3,15
23:00,3,15
23:10,3,15
23:20,3,15
23:30,3,15
23:40,3,15
23:50,3,15
