Text_ID,Character_ID,Text_Type,Animation_ID,Text_Formal,Text_Script_1,Text_Script_2,Text_Select1,Text_Select2,Text_Next1,Text_Next2,Event_ID,,
0,3,1,3,1,물건 살 거니?,안녕~ 오늘은 물건이 좋아.,-1,-1,-1,-1,2,,
1,3,1,3,1,다음에 또 오렴.,다음에 또 오렴~,-1,-1,-1,-1,-1,,
2,3,1,3,2,방문해 줘서 고마워.,어떤 걸 사러 왔니?,-1,-1,-1,-1,2,,
3,3,1,3,2,잘 가렴.,잘 가렴~,-1,-1,-1,-1,-1,,
4,3,1,3,3,가게 일은 어떠니?,매번 방문해 줘서 고맙구나.,-1,-1,-1,-1,2,,
5,3,1,3,3,오늘도 힘내렴.,좋은 하루 되렴.,-1,-1,-1,-1,-1,,
6,,,,,,,,,,,,,
7,,,,,,,,,,,,,
8,,,,,,,,,,,,,
9,,,,,,,,,,,,,
10,,,,,,,,,,,,,
11,,,,,,,,,,,,,
12,,,,,,,,,,,,,
13,,,,,,,,,,,,,
14,,,,,,,,,,,,,
15,,,,,,,,,,,,,
16,,,,,,,,,,,,,
17,,,,,,,,,,,,,
18,,,,,,,,,,,,,
19,,,,,,,,,,,,,
20,,,,,,,,,,,,,
21,,,,,,,,,,,,,
22,,,,,,,,,,,,,
23,,,,,,,,,,,,,
24,,,,,,,,,,,,,
25,,,,,,,,,,,,,
26,,,,,,,,,,,,,
27,,,,,,,,,,,,,
28,,,,,,,,,,,,,
29,,,,,,,,,,,,,
30,,,,,,,,,,,,,
31,,,,,,,,,,,,,
32,,,,,,,,,,,,,
33,,,,,,,,,,,,,
34,,,,,,,,,,,,,
35,,,,,,,,,,,,,
36,,,,,,,,,,,,,
37,,,,,,,,,,,,,
38,,,,,,,,,,,,,
39,,,,,,,,,,,,,
40,,,,,,,,,,,,,
41,,,,,,,,,,,,,
42,,,,,,,,,,,,,
43,,,,,,,,,,,,,
44,,,,,,,,,,,,,
45,,,,,,,,,,,,,
46,,,,,,,,,,,,,
47,,,,,,,,,,,,,
48,,,,,,,,,,,,,
49,,,,,,,,,,,,,
