ConditionTime,AiParameter1,AiParameter2
0:00,3,19
0:10,3,19
0:20,3,19
0:30,3,19
0:40,3,19
0:50,3,19
1:00,3,19
1:10,3,19
1:20,3,19
1:30,3,19
1:40,3,19
1:50,3,19
2:00,3,19
2:10,3,19
2:20,3,19
2:30,3,19
2:40,3,19
2:50,3,19
3:00,3,19
3:10,3,19
3:20,3,19
3:30,3,19
3:40,3,19
3:50,3,19
4:00,3,19
4:10,3,19
4:20,3,19
4:30,3,19
4:40,3,19
4:50,3,19
5:00,3,19
5:10,3,19
5:20,3,19
5:30,3,19
5:40,3,19
5:50,3,19
6:00,3,19
6:10,3,19
6:20,3,19
6:30,3,19
6:40,3,19
6:50,3,19
7:00,3,19
7:10,3,19
7:20,3,19
7:30,3,19
7:40,4,19
7:50,4,27
8:00,2,27
8:10,2,27
8:20,2,27
8:30,2,27
8:40,2,27
8:50,2,27
9:00,2,27
17:00,4,24
17:10,4,30
17:20,4,30
17:30,4,30
17:40,4,30
17:50,4,30
18:00,4,30
18:10,4,30
18:20,4,30
18:30,4,30
18:40,4,30
18:50,4,30
19:00,4,30
19:10,4,30
19:20,4,30
19:30,4,20
19:40,4,13
19:50,4,13
20:00,4,13
20:10,4,13
20:20,4,13
20:30,4,13
20:40,4,13
20:50,4,13
21:00,4,13
21:10,4,13
21:20,4,13
21:30,4,13
21:40,4,13
21:50,4,13
22:00,4,19
22:10,3,19
22:20,3,19
22:30,3,19
22:40,3,19
22:50,3,19
23:00,3,19
23:10,3,19
23:20,3,19
23:30,3,19
23:40,3,19
23:50,3,19
