ConditionTime,AiParameter1,AiParameter2
0:00,3,17
0:10,3,17
0:20,3,17
0:30,3,17
0:40,3,17
0:50,3,17
1:00,3,17
1:10,3,17
1:20,3,17
1:30,3,17
1:40,3,17
1:50,3,17
2:00,3,17
2:10,3,17
2:20,3,17
2:30,3,17
2:40,3,17
2:50,3,17
3:00,3,17
3:10,3,17
3:20,3,17
3:30,3,17
3:40,3,17
3:50,3,17
4:00,3,17
4:10,3,17
4:20,3,17
4:30,3,17
4:40,3,17
4:50,3,17
5:00,3,17
5:10,3,17
5:20,3,17
5:30,3,17
5:40,3,17
5:50,3,17
6:00,3,17
6:10,3,17
6:20,3,17
6:30,4,17
6:40,4,5
6:50,4,5
7:00,1,5
7:10,1,5
7:20,4,5
7:30,4,14
7:40,4,14
7:50,2,14
8:00,2,14
8:10,2,14
8:20,2,14
8:30,2,14
8:40,2,14
8:50,2,14
9:00,2,14
