ConditionTime,AiParameter1,AiParameter2
0:00,3,24
0:10,3,24
0:20,3,24
0:30,3,24
0:40,3,24
0:50,3,24
1:00,3,24
1:10,3,24
1:20,3,24
1:30,3,24
1:40,3,24
1:50,3,24
2:00,3,24
2:10,3,24
2:20,3,24
2:30,3,24
2:40,3,24
2:50,3,24
3:00,3,24
3:10,3,24
3:20,3,24
3:30,3,24
3:40,3,24
3:50,3,24
4:00,3,24
4:10,3,24
4:20,3,24
4:30,3,24
4:40,3,24
4:50,3,24
5:00,3,24
5:10,3,24
5:20,3,24
5:30,3,24
5:40,3,24
5:50,3,24
6:00,3,24
6:10,3,24
6:20,3,24
6:30,4,24
6:40,4,5
6:50,4,5
7:00,4,5
7:10,4,5
7:20,4,5
7:30,4,5
7:40,4,5
7:50,4,11
8:00,4,11
8:10,4,11
8:20,4,11
8:30,4,11
8:40,4,11
8:50,4,11
9:00,4,11
17:00,4,24
17:10,4,9
17:20,2,9
17:30,2,9
17:40,2,9
17:50,2,9
18:00,2,9
18:10,2,9
18:20,2,9
18:30,2,9
18:40,2,9
18:50,2,9
19:00,2,9
19:10,2,9
19:20,2,9
19:30,2,9
19:40,2,9
19:50,2,9
20:00,2,9
20:10,2,9
20:20,4,9
20:30,4,24
20:40,2,24
20:50,2,24
21:00,2,24
21:10,2,24
21:20,2,24
21:30,2,24
21:40,2,24
21:50,2,24
22:00,2,24
22:10,2,24
22:20,2,24
22:30,2,24
22:40,2,24
22:50,2,24
23:00,2,24
23:10,2,24
23:20,2,24
23:30,2,24
23:40,2,24
23:50,2,24
