Text_ID,Character_ID,Text_Type,Animation_ID,Text_Formal,Text_Script_1,Text_Script_2,Text_Select1,Text_Select2,Text_Next1,Text_Next2,Event_ID,,
0,4,1,3,1,어서 와라! 오늘은 품질 좋으니 사 가게나.,오늘은 어떤 걸 사러 왔나!,-1,-1,-1,-1,1,,
1,4,1,3,1,다음엔 더 준비할 테니 사러 와라!,다음엔 싸게 주겠네!,-1,-1,-1,-1,-1,,
2,4,1,3,2,왔나! 이거 다 채집하느라 애쓴 거다.,어서 와라. 오늘은 품질이 아주 좋아!,-1,-1,-1,-1,1,,
3,4,1,3,2,다음엔 더 많이 사 가라고!,다음엔 더 좋은 것을 준비하마!,-1,-1,-1,-1,-1,,
4,4,1,3,3,지금 안 사면 다음엔 없을 게다.,왔나. 특별히 좋은 걸로만 채집해왔다네!,-1,-1,-1,-1,1,,
5,4,1,3,3,잘 가시게나!,매번 방문해 줘서 고맙구나!,-1,-1,-1,-1,-1,,
6,,,,,,,,,,,,,
7,,,,,,,,,,,,,
8,,,,,,,,,,,,,
9,,,,,,,,,,,,,
10,,,,,,,,,,,,,
11,,,,,,,,,,,,,
12,,,,,,,,,,,,,
13,,,,,,,,,,,,,
14,,,,,,,,,,,,,
15,,,,,,,,,,,,,
16,,,,,,,,,,,,,
17,,,,,,,,,,,,,
18,,,,,,,,,,,,,
19,,,,,,,,,,,,,
20,,,,,,,,,,,,,
21,,,,,,,,,,,,,
22,,,,,,,,,,,,,
23,,,,,,,,,,,,,
24,,,,,,,,,,,,,
25,,,,,,,,,,,,,
26,,,,,,,,,,,,,
27,,,,,,,,,,,,,
28,,,,,,,,,,,,,
29,,,,,,,,,,,,,
30,,,,,,,,,,,,,
31,,,,,,,,,,,,,
32,,,,,,,,,,,,,
33,,,,,,,,,,,,,
34,,,,,,,,,,,,,
35,,,,,,,,,,,,,
36,,,,,,,,,,,,,
37,,,,,,,,,,,,,
38,,,,,,,,,,,,,
39,,,,,,,,,,,,,
40,,,,,,,,,,,,,
41,,,,,,,,,,,,,
42,,,,,,,,,,,,,
